date,ticker,acc_d1,acc_d2,acc_d3,n_d1,n_d2,n_d3
2026-06-17,EXUS.MI,0.5,0.4091,0.4783,30,22,23
2026-06-17,SJPA.MI,0.5,0.68,0.7273,30,25,22
2026-06-17,EMIM.AS,0.6667,0.625,0.8095,30,24,21
2026-06-17,ICGA.DE,0.4667,0.7273,0.7273,30,22,22
2026-06-17,ALV.DE,0.6667,0.6364,0.7895,30,22,19
2026-06-17,MEUD.PA,0.6,0.5789,0.4737,30,19,19
2026-06-17,NVDA,0.4333,0.6818,0.7273,30,22,22
2026-06-17,BTC-USD,0.4333,0.44,0.3889,30,25,18
2026-06-17,BABA,0.6,0.4737,0.5652,30,19,23
2026-06-30,EMIM.AS,0.5,0.6154,0.7083,30,26,24
2026-06-30,NVDA,0.5,0.5455,0.5238,30,22,21
2026-06-30,ICGA.DE,0.5333,0.4783,0.7727,30,23,22
2026-06-30,ALV.DE,0.6667,0.6522,0.75,30,23,20
2026-06-30,SJPA.MI,0.5667,0.6,0.8333,30,25,24
2026-06-30,BABA,0.5333,0.619,0.4583,30,21,24
2026-06-30,BTC-USD,0.3333,0.6087,0.45,30,23,20
2026-06-30,MEUD.PA,0.4667,0.5625,0.625,30,16,16
2026-06-30,EXUS.MI,0.5,0.6667,0.6818,30,21,22
2026-07-01,EXUS.MI,0.5,0.6818,0.6818,30,22,22
2026-07-01,ICGA.DE,0.5333,0.4583,0.7391,30,24,23
2026-07-01,EMIM.AS,0.4667,0.5769,0.6957,30,26,23
2026-07-01,BTC-USD,0.3,0.5455,0.3,30,22,20
2026-07-01,MEUD.PA,0.4667,0.5882,0.625,30,17,16
2026-07-01,NVDA,0.5333,0.5455,0.5714,30,22,21
2026-07-01,BABA,0.5333,0.619,0.4583,30,21,24
2026-07-01,SJPA.MI,0.5333,0.6,0.8261,30,25,23
2026-07-01,ALV.DE,0.6667,0.6522,0.7143,30,23,21
2026-07-02,ALV.DE,0.6333,0.6522,0.7143,30,23,21
2026-07-02,MEUD.PA,0.5,0.5882,0.6,30,17,15
2026-07-02,SJPA.MI,0.5333,0.6,0.8333,30,25,24
2026-07-02,BTC-USD,0.3,0.5238,0.3,30,21,20
2026-07-02,EMIM.AS,0.4667,0.6154,0.6818,30,26,22
2026-07-02,NVDA,0.4333,0.6667,0.5714,30,21,21
2026-07-02,BABA,0.6,0.4762,0.5652,30,21,23
2026-07-02,ICGA.DE,0.5,0.4583,0.7273,30,24,22
2026-07-02,EXUS.MI,0.5,0.6667,0.6818,30,21,22
